,Accuracy,Precision,Recall,F1-Score,AUC,MSE,MAE,RMSE,Loss
CNN,0.6083,0.6268,0.8583,0.7245,0.7432,0.2455,0.3649,0.4955,0.7072
XGBoost,0.75,0.7966,0.7833,0.7899,0.8253,0.1685,0.3188,0.4105,0.1685
